model,dataType,rmse,rmsd,msd,sdev,rpd,rpiq,r2,bias,SB,NU,LC,SB_prop,NU_prop,LC_prop,n,b,ncomp,response,min_obs,median_obs,max_obs,mean_obs,CV
final_model,Cross-validation,2.966407843645395,2.950586889006433,8.705962989576658,6.703097178334868,2.2596681008291446,2.481705277232953,0.8044253114873536,-0.015801953578934658,2.4970173691080583e-4,0.011730551965491406,8.693982735874254,0,0,100,94,0.9822103339241566,5,Fe_tot,3.883,10.295,35.2,12.367212765957447,54.20054870234075
pls,Calibration,2.246855351698878,2.2348720377133495,4.994653024953019,6.703097178334868,2.98332385895094,3.276468151113369,0.8876432425436942,0,0,1.9454721959638468e-28,4.994653024953018,0,0,100,94,0.9999999999999978,5,Fe_tot,3.883,10.295,35.2,12.367212765957447,54.20054870234075
final_model,Cross-validation,18.719936974133205,18.620096598391733,346.7079973334394,31.53967705211673,1.684817480726434,2.0753274999633833,0.648462327107451,-0.06266933144246423,0.003927445103445435,0.7316712152903475,345.9723986730455,0,0,100,94,0.9672493979383533,3,Si_tot,200.4,261.7,363,261.631914893617,12.054980778985309
pls,Calibration,16.538917251226625,16.450709063613537,270.62582869565654,31.53967705211673,1.9069976935628938,2.349005041253146,0.7250209137804824,0,0,3.5180383096566835e-29,270.62582869565654,0,0,100,94,1.0000000000000002,3,Si_tot,200.4,261.7,363,261.631914893617,12.054980778985309
final_model,Cross-validation,3.5588271131582077,3.5398465665533974,12.530513714739875,22.101049572071062,6.2102060227528,10.032097335663082,0.9740736435811959,0.036622914700657816,0.0013412378811716583,2.4008753468232403e-7,12.529172236771217,0,0,100,94,1.0000225843851647,6,Al_tot,10.43,48.28,102.4,52.55053191489362,42.05675711877483
pls,Calibration,2.4297924218481675,2.416833436531801,5.841083859938114,22.101049572071062,9.095859124978418,14.693642007840193,0.9879131662361197,0,0,8.473886007689363e-28,5.84108385993805,0,0,100,94,1.0000000000000013,6,Al_tot,10.43,48.28,102.4,52.55053191489362,42.05675711877483
final_model,Cross-validation,1.3431012972603156,1.3359380392663054,1.7847304447587007,8.6446854378859,6.4363614684309365,8.06901163903761,0.975871462849297,0.02008740151817001,4.035036997521789e-4,3.695502783634224e-4,1.7839573907805761,0,0,100,94,1.0022682854330207,7,K_tot,0.5404,5.804,34.12,9.545762765957447,90.56044707830986
pls,Calibration,0.8457426275637135,0.8412319680549121,0.7076712240775406,8.6446854378859,10.221413886619613,12.814182053491873,0.9904285430196473,0,0,1.2997492755645664e-28,0.7076712240775448,0,0,100,94,0.9999999999999987,7,K_tot,0.5404,5.804,34.12,9.545762765957447,90.56044707830986
final_model,Cross-validation,0.5954736609293636,0.5922977787598089,0.35081665872380363,1.293042610941216,2.171452233375272,2.459260746670898,0.7879744483903441,-0.0010945428198918528,1.1980239845768089e-6,8.864645187142539e-5,0.35072681424794755,0,0,100,94,0.9918206765108306,5,Ca_tot,0.2773,1.4175,7.568,1.85885,69.56142835307939
pls,Calibration,0.407699271801909,0.40552486018169515,0.1644504122253834,1.293042610941216,3.1715597754844005,3.5919244925988676,0.9005844778669464,0,0,1.8362241107720712e-30,0.1644504122253834,0,0,100,94,1.000000000000001,5,Ca_tot,0.2773,1.4175,7.568,1.85885,69.56142835307939
final_model,Cross-validation,6.469429708385484,6.43492583725543,41.4082705309775,11.002821802745402,1.7007406060048644,2.202667103953471,0.6577441986685286,-0.1464256176947032,0.021440461517275376,0.39341764016018205,40.99341242930004,0,1,99,94,0.9339972015546879,6,Zn_tot,9.5,19.05,71.6,22.635106382978723,48.609543143209464
pls,Calibration,3.996908260100892,3.975591264053092,15.80532589881526,11.002821802745402,2.752833211755444,3.5652557108329272,0.868040639697083,0,0,5.925726420229138e-27,15.805325898815274,0,0,100,94,1.0000000000000075,6,Zn_tot,9.5,19.05,71.6,22.635106382978723,48.609543143209464
final_model,Cross-validation,3.1895284507967343,3.1725175111014954,10.064867358245627,5.945401030302223,1.8640376224946609,2.186843637735122,0.7156879277606132,-0.007965132252599538,6.34433318014014e-5,0.12191233380896023,9.94289158110486,0,1,99,94,0.9347614824280832,8,Cu_tot,0.5,4.65,29.2,6.8074468085106385,87.33672399568823
pls,Calibration,1.6074203334022423,1.5988473638306506,2.556312892828221,5.945401030302223,3.6987220497069826,4.339250820124202,0.9269034958368226,-8.881784197001252e-16,7.888609052210118e-31,2.3014146123005116e-28,2.5563128928282195,0,0,100,94,1.0000000000000027,8,Cu_tot,0.5,4.65,29.2,6.8074468085106385,87.33672399568823
final_model,Cross-validation,124.92304437982499,124.25678339257465,15439.748219069214,227.7228000202232,1.8229046622322016,1.5857762751737188,0.7009124770518056,0.6909357381895802,0.4773921943075801,94.28749014952294,15344.983336725381,0,1,99,94,0.9512893724726701,4,Mn_tot,59.2,221.5,1146,307.98936170212767,73.93852786398045
pls,Calibration,98.32904531569574,97.80462000143403,9565.74369362491,227.7228000202232,2.3159260754449025,2.0146641245623726,0.813555054202221,-5.684341886080802e-14,3.2311742677852644e-27,1.486871287761633e-25,9565.74369362491,0,0,100,94,0.9999999999999981,4,Mn_tot,59.2,221.5,1146,307.98936170212767,73.93852786398045
final_model,Cross-validation,7.909427755890849,7.8598383782897105,61.77705933283583,10.630018956810563,1.3439681459753456,1.2488261230584432,0.4491217504542662,0.08609520575325291,0.007412384453694953,0.29998741230313875,61.469659536079,0,0,100,80,0.9281871086026415,2,sand,29.82,75.64500000000001,91.61,74.217875,14.322720714936343
pls,Calibration,6.846487938986691,6.803562826560552,46.288467134956605,10.630018956810563,1.5526236300335687,1.442710494493608,0.5851724258454115,0,0,1.5774861926639398e-28,46.2884671349566,0,0,100,80,0.9999999999999984,2,sand,29.82,75.64500000000001,91.61,74.217875,14.322720714936343
final_model,Cross-validation,6.357095014901298,6.317238226917432,39.9074988156269,8.428683693048894,1.3258703343731224,1.3158525994014707,0.4333267642700161,-0.046875221411180945,0.0021972863823472365,0.1505248808262129,39.75477664841833,0,0,100,80,0.9342591322258574,2,silt,3.86,12.035,54.07,14.13725,59.62039076233988
pls,Calibration,5.526624137586756,5.491974114895263,30.161779678679604,8.428683693048894,1.5251052872810968,1.513582214341185,0.5700674302097417,0,0,1.9718019722676356e-30,30.161779678679597,0,0,100,80,1.0000000000000002,2,silt,3.86,12.035,54.07,14.13725,59.62039076233988
final_model,Cross-validation,2.22351215896349,2.2095715064340524,4.882206242045248,4.924701102540853,2.2148298504634876,2.7209205830564294,0.7963147957456582,-0.037644306894121016,0.001417093841538767,0.002625778727582029,4.878163369476129,0,0,100,80,0.9884022968830639,2,clay,4.54,10.14,26.1,11.64475,42.291170721061874
pls,Calibration,1.9655984593868723,1.953274836588478,3.815282587249745,4.924701102540853,2.505446155099761,3.0779429903944733,0.8406948365168317,0,0,1.5883114674205398e-29,3.815282587249744,0,0,100,80,0.9999999999999991,2,clay,4.54,10.14,26.1,11.64475,42.291170721061874
final_model,Cross-validation,0.4145007636624222,0.4119019871744637,0.16966324703827207,0.727704434082813,1.755616630601603,2.1658584946085813,0.6780407445795282,-0.002547721663428426,6.490885674302506e-6,0.001293211339192115,0.16836354481340562,0,1,99,80,0.9430469981533873,8,pH,4.705,6.4355,8.389,6.415941666675,11.342129836724949
pls,Calibration,0.22472131623328914,0.2233123912706182,0.04986842409500167,0.727704434082813,3.238252811439409,3.9949481208450344,0.9046373090539689,0,0,5.9709310740522845e-30,0.049868424095001695,0,0,100,80,1.0000000000000036,8,pH,4.705,6.4355,8.389,6.415941666675,11.342129836724949
final_model,Cross-validation,121.24999992114486,120.6033286440189,14545.16288001723,138.56501077682867,1.142804213335626,0.7597938149271228,0.23629571355383064,-0.21565616373740681,0.04650758095793522,37.78661366525966,14507.329758771013,0,0,100,94,0.9159599287016489,1,ex_K,0,104,868,145.17801418510638,95.44490021757294
pls,Calibration,117.60270586684969,116.97548696337881,13683.264550319605,138.56501077682867,1.1782467907984413,0.7833578260036325,0.27967669009949714,0,0,6.548457082328964e-29,13683.264550319605,0,0,100,94,0.9999999999999999,1,ex_K,0,104,868,145.17801418510638,95.44490021757294
final_model,Cross-validation,227.58501537086437,226.34476082197975,51231.95075155921,539.3051833461801,2.369686696935419,2.1413243421622425,0.822127736745584,-0.09208511244582951,0.008479667934161064,60.10798441429891,51171.834287476995,0,0,100,92,0.9843084349272035,6,ex_Ca,97.7,603.5,2170,774.0076086945652,69.67698731744612
pls,Calibration,148.88190395867974,148.0705523926267,21924.88848585761,539.3051833461801,3.622368931390462,3.273287890382253,0.9237895301022154,1.1368683772161603e-13,1.2924697071141057e-26,1.3103165924071707e-26,21924.888485857653,0,0,100,92,1.0000000000000002,6,ex_Ca,97.7,603.5,2170,774.0076086945652,69.67698731744612
final_model,Cross-validation,61.10808540018468,60.77865935935577,3694.045433520605,94.20551968296989,1.5416211957229016,1.7689966768239362,0.5822986554784038,-0.012457620162052763,1.551923001019835e-4,26.939382413154533,3667.1058959151496,0,1,99,93,0.9323204670237814,2,ex_Mg,17.5,76.3,432,112.58530466021506,83.67479216518021
pls,Calibration,53.77831709518938,53.488404917985804,2861.009460670408,94.20551968296989,1.7517379637637793,2.0101038083556886,0.6741169924374915,0,0,0,2861.009460670408,0,0,100,93,1,2,ex_Mg,17.5,76.3,432,112.58530466021506,83.67479216518021
final_model,Cross-validation,9.053300554893056,9.005015940989177,81.0903120974692,9.830686398128009,1.0858676720740037,0,0.16765086855914876,-0.08475993428414474,0.007184246459852535,1.4986612168922402,79.58446663411709,0,2,98,94,0.7658347239855626,2,ex_Al,0,0,46.8,3.8053191489361704,258.34065457758817
pls,Calibration,8.114338052646172,8.071061274461023,65.1420300961044,9.830686398128009,1.211520438801797,0,0.31869981085552307,0,0,9.389988348272171e-30,65.1420300961044,0,0,100,94,0.9999999999999994,2,ex_Al,0,0,46.8,3.8053191489361704,258.34065457758817
final_model,Cross-validation,1.3610794528183832,1.353580335403538,1.8321797243911544,3.5595087020277507,2.6152100780428995,2.3742615075177436,0.8538024117573758,-0.0011336189321697887,1.285091883373772e-6,1.954217608332506e-4,1.8319830175384386,0,0,100,91,0.9957443587530953,6,CEC_eff,0.872892801,4.172209332,14.58652112,5.312948773505495,66.99685718368369
pls,Calibration,0.887768721453477,0.8828773965086907,0.7794724972659639,3.5595087020277507,4.009500015049004,3.64009057247389,0.9377958211889657,0,0,5.793886446373682e-31,0.7794724972659633,0,0,100,91,1.0000000000000002,6,CEC_eff,0.872892801,4.172209332,14.58652112,5.312948773505495,66.99685718368369
final_model,Cross-validation,3.816549128244084,3.7955211493314924,14.405980795022652,3.887511260247446,1.0185932709415981,0.010897632547737067,0.05305424475541958,0.018213714189755592,3.3173938458610423e-4,0.25196363682182427,14.15368541881625,0,2,98,91,0.639514902024997,1,BS_eff,79.35978384,99.98633136,99.99973548,98.38123455956044,3.9514763945088833
pls,Calibration,3.6346156845190594,3.6145901013544566,13.06526160080962,3.887511260247446,1.0695797293797928,0.011443121807111697,0.12587473524041143,0,0,6.701951945724459e-30,13.06526160080962,0,0,100,91,0.9999999999999981,1,BS_eff,79.35978384,99.98633136,99.99973548,98.38123455956044,3.9514763945088833
final_model,Cross-validation,1.569881009026423,1.5615082506123765,2.438308016730524,5.747934783440388,3.6613824553524763,4.903078612801058,0.9254941255702255,-0.021352486359973,4.55928673752833e-4,0.0024578456159534256,2.4353942424408195,0,0,100,94,0.9910668620129311,6,C,2.404,8.4855,24.687,9.931269503478724,57.87714029336332
pls,Calibration,1.0403813639856103,1.0348326238141945,1.07087855931017,5.747934783440388,5.52483443323182,7.398488925745945,0.9672386745114676,0,0,2.494094161307246e-29,1.070878559310171,0,0,100,94,1.0000000000000009,6,C,2.404,8.4855,24.687,9.931269503478724,57.87714029336332
final_model,Cross-validation,0.1654421542038369,0.16455978975666954,0.02707992440475928,0.4941872007732083,2.987069427084063,4.195323353894669,0.8884092848457703,0.0018609763705430549,3.4632330517196014e-6,1.1358965760270285e-4,0.026962871514104866,0,0,100,94,0.9775137676933665,5,N,0.181,0.724,2.481,0.8143014184361702,60.68848580937916
pls,Calibration,0.118678155806602,0.11804520112922202,0.01393466950963848,0.4941872007732083,4.164095721023304,5.848450614459148,0.9423288526518788,-1.1102230246251565e-16,1.232595164407831e-32,1.8971764525501633e-30,0.013934669509638514,0,0,100,94,0.9999999999999971,5,N,0.181,0.724,2.481,0.8143014184361702,60.68848580937916
final_model,Cross-validation,20.248919891568683,20.140924882123585,405.656855107345,51.760359375478835,2.556203474192764,4.020790595423342,0.8474567168244914,-9.161475080645687e-4,8.393262565329189e-7,1.320537726046969,404.33631654197194,0,0,100,94,0.9763278613539629,3,S,41,99,242,111.31914893510638,46.497264729945606
pls,Calibration,16.97106886144854,16.880555848813792,284.95316576492155,51.760359375478835,3.0499174682543186,4.797380019619506,0.8924961976485634,0,0,4.198933409125396e-27,284.9531657649216,0,0,100,94,1.0000000000000013,3,S,41,99,242,111.31914893510638,46.497264729945606
final_model,Cross-validation,143.26067860353345,142.49661620308208,20305.285629328475,211.63772040989625,1.47729106460254,1.3168302833611387,0.5472405662689185,5.310813967695822,28.204744999473036,213.48586535352297,20063.59501897548,0,1,99,94,0.9142219005427551,3,P_tot,240.1,467.29999999999995,1631,530.2117021276596,39.915701513306104
pls,Calibration,121.79916216733862,121.14956200401615,14677.216373764953,211.63772040989625,1.7375958639118498,1.5488612289534116,0.6687907542068345,0,0,9.351729373244121e-26,14677.216373764959,0,0,100,94,1.0000000000000018,3,P_tot,240.1,467.29999999999995,1631,530.2117021276596,39.915701513306104
final_model,Cross-validation,0.6306020338307265,0.6271654849010003,0.3933365454511069,0.8113854316698494,1.28668381663934,1.8387626923444471,0.40040480790824523,0.008083308206670026,6.533987156401899e-5,0.002820584307906787,0.39045062127163616,0,1,99,92,0.9057907013528972,2,log(P_resin),-0.2113523008947434,1.3700008487615207,3.500410751071177,1.413881739757327,57.3870790501271
pls,Calibration,0.5801656074430772,0.5770039184691124,0.33293352192871,0.8113854316698494,1.398541073894075,1.9986146690679825,0.4887308966637546,0,0,2.5106039352881302e-31,0.33293352192871006,0,0,100,92,1.0000000000000009,2,log(P_resin),-0.2113523008947434,1.3700008487615207,3.500410751071177,1.413881739757327,57.3870790501271
final_model,Cross-validation,0.4623085806200912,0.4597891690535252,0.21140607997893118,1.1091809235736358,2.399222013326898,3.306378169271289,0.826833820691651,-0.025912014601531475,6.714325007099803e-4,7.0463663118071575e-6,0.21072760111190939,0,0,100,92,1.0026533535898248,9,log(Fe_DTPA),1.0224509277025455,2.667922169219379,6.697034247666484,2.9207073224249758,37.97644889158959
pls,Calibration,0.2108303827640003,0.2096814347946446,0.0439663040975408,1.1091809235736358,5.2610108136797,7.2502216160187665,0.9638705283090234,0,0,2.798999766598553e-29,0.043966304097540716,0,0,100,92,1.0000000000000049,9,log(Fe_DTPA),1.0224509277025455,2.667922169219379,6.697034247666484,2.9207073224249758,37.97644889158959
final_model,Cross-validation,2.128299875963395,2.116032915715945,4.477595300393323,2.45751895056407,1.1546864134696484,1.022412313497417,0.27441133720375954,-0.03083382584608918,9.507248163069572e-4,0.14489403865625194,4.331750536920764,0,3,97,87,0.770773617797144,3,Zn_DTPA,0.21,1.886,11.473333330000001,2.765789272,88.85416453969346
pls,Calibration,1.7192580173997558,1.7093486667519735,2.9218728645267493,2.45751895056407,1.4294067124845382,1.2656622670813722,0.5105725026031515,0,0,0,2.9218728645267493,0,0,100,87,1,3,Zn_DTPA,0.21,1.886,11.473333330000001,2.765789272,88.85416453969346
final_model,Cross-validation,0.18658978708431675,0.18557294143729722,0.034437316593690544,0.3622115149323052,1.9412183302863621,2.1959937178385918,0.7362267672974265,-0.00396623124650991,1.5730990300791555e-5,1.9143639045352524e-4,0.03423014921293625,0,1,99,92,0.9571550437278494,6,Cu_DTPA,0.0938,0.243,1.496,0.4091485507282609,88.52811876947615
pls,Calibration,0.10862549112668392,0.10803352219026183,0.011671241916833795,0.3622115149323052,3.3344982947867905,3.772134846066023,0.9100628749554622,-1.1102230246251565e-16,1.232595164407831e-32,4.089042903491685e-30,0.011671241916833809,0,0,100,92,0.9999999999999941,6,Cu_DTPA,0.0938,0.243,1.496,0.4091485507282609,88.52811876947615
final_model,Cross-validation,3.993651729962418,3.971887798287587,15.775892682185816,5.939846926343301,1.4873222123450403,1.345886011960933,0.5521372135029681,-0.028731562483748974,8.255026827575715e-4,0.14542451556441585,15.629642663938643,0,1,99,92,0.9200692676229933,3,Mn_DTPA,2.52,6.539999999999999,31.4,8.640543478228262,68.7439041457293
pls,Calibration,3.4026877824034885,3.3841443866808705,11.452433229903644,5.939846926343301,1.7456338360105699,1.5796336142845786,0.6718339140055988,0,0,7.398205988045541e-29,11.452433229903647,0,0,100,92,1.0000000000000018,3,Mn_DTPA,2.52,6.539999999999999,31.4,8.640543478228262,68.7439041457293
